score_floor	score_ceiling	count	probability
0.0	0.1	458844	0.458844000000
0.5	0.6	165138	0.165138000000
0.7	0.8	58988	0.058988000000
0.8	0.9	20712	0.020712000000
1.0	1.1	9694	0.009694000000
1.2	1.3	40306	0.040306000000
1.3	1.4	14232	0.014232000000
1.4	1.5	14780	0.014780000000
1.5	1.6	18776	0.018776000000
1.6	1.7	32110	0.032110000000
1.7	1.8	13006	0.013006000000
1.8	1.9	13552	0.013552000000
1.9	2.0	2644	0.002644000000
2.0	2.1	2524	0.002524000000
2.1	2.2	12732	0.012732000000
2.2	2.3	608	0.000608000000
2.3	2.4	11120	0.011120000000
2.4	2.5	3326	0.003326000000
2.5	2.6	2888	0.002888000000
2.6	2.7	15410	0.015410000000
2.7	2.8	172	0.000172000000
2.8	2.9	11676	0.011676000000
2.9	3.0	7560	0.007560000000
3.0	3.1	2960	0.002960000000
3.1	3.2	4414	0.004414000000
3.2	3.3	4770	0.004770000000
3.3	3.4	3626	0.003626000000
3.4	3.5	1596	0.001596000000
3.5	3.6	1684	0.001684000000
3.6	3.7	6182	0.006182000000
3.7	3.8	1356	0.001356000000
3.8	3.9	1926	0.001926000000
3.9	4.0	1172	0.001172000000
4.0	4.1	1808	0.001808000000
4.1	4.2	1764	0.001764000000
4.2	4.3	692	0.000692000000
4.3	4.4	352	0.000352000000
4.4	4.5	5838	0.005838000000
4.6	4.7	4530	0.004530000000
4.7	4.8	2664	0.002664000000
4.8	4.9	1120	0.001120000000
4.9	5.0	2688	0.002688000000
5.0	5.1	542	0.000542000000
5.1	5.2	772	0.000772000000
5.2	5.3	210	0.000210000000
5.3	5.4	52	0.000052000000
5.4	5.5	742	0.000742000000
5.5	5.6	1100	0.001100000000
5.6	5.7	936	0.000936000000
5.7	5.8	1736	0.001736000000
5.8	5.9	216	0.000216000000
5.9	6.0	872	0.000872000000
6.0	6.1	284	0.000284000000
6.1	6.2	132	0.000132000000
6.2	6.3	612	0.000612000000
6.3	6.4	24	0.000024000000
6.4	6.5	448	0.000448000000
6.5	6.6	1078	0.001078000000
6.6	6.7	356	0.000356000000
6.7	6.8	996	0.000996000000
6.8	6.9	368	0.000368000000
6.9	7.0	144	0.000144000000
7.0	7.1	46	0.000046000000
7.1	7.2	40	0.000040000000
7.2	7.3	64	0.000064000000
7.3	7.4	764	0.000764000000
7.4	7.5	284	0.000284000000
7.5	7.6	768	0.000768000000
7.6	7.7	268	0.000268000000
7.7	7.8	156	0.000156000000
7.8	7.9	144	0.000144000000
7.9	8.0	32	0.000032000000
8.0	8.1	24	0.000024000000
8.1	8.2	376	0.000376000000
8.2	8.3	112	0.000112000000
8.3	8.4	478	0.000478000000
8.4	8.5	36	0.000036000000
8.5	8.6	120	0.000120000000
8.6	8.7	152	0.000152000000
8.7	8.8	142	0.000142000000
8.8	8.9	52	0.000052000000
8.9	9.0	98	0.000098000000
9.0	9.1	56	0.000056000000
9.1	9.2	240	0.000240000000
9.2	9.3	336	0.000336000000
9.3	9.4	92	0.000092000000
9.4	9.5	84	0.000084000000
9.5	9.6	16	0.000016000000
9.6	9.7	8	0.000008000000
9.7	9.8	12	0.000012000000
9.8	9.9	68	0.000068000000
9.9	10.0	170	0.000170000000
10.0	10.1	108	0.000108000000
10.1	10.2	136	0.000136000000
10.2	10.3	36	0.000036000000
10.3	10.4	68	0.000068000000
10.4	10.5	16	0.000016000000
10.5	10.6	52	0.000052000000
10.6	10.7	36	0.000036000000
10.7	10.8	64	0.000064000000
10.8	10.9	18	0.000018000000
10.9	11.0	82	0.000082000000
11.0	11.1	88	0.000088000000
11.1	11.2	46	0.000046000000
11.2	11.3	2	0.000002000000
11.3	11.4	32	0.000032000000
11.5	11.6	56	0.000056000000
11.6	11.7	54	0.000054000000
11.8	11.9	18	0.000018000000
12.0	12.1	32	0.000032000000
12.1	12.2	12	0.000012000000
12.2	12.3	2	0.000002000000
12.3	12.4	16	0.000016000000
12.5	12.6	24	0.000024000000
12.7	12.8	16	0.000016000000
12.9	13.0	16	0.000016000000
13.0	13.1	16	0.000016000000
13.3	13.4	4	0.000004000000
13.4	13.5	16	0.000016000000
13.6	13.7	16	0.000016000000
13.8	13.9	2	0.000002000000
14.0	14.1	16	0.000016000000
14.2	14.3	4	0.000004000000
15.0	15.1	2	0.000002000000
15.1	15.2	32	0.000032000000
15.6	15.7	16	0.000016000000
16.0	16.1	32	0.000032000000
16.8	16.9	16	0.000016000000
